scheduled_date,game_id,home_team,market,opp_market,points_game,game_result,opp_points_game,prn_enter_pts_avg,prn_enter_allow_pts_avg,prn_enter_possesion_avg,prn_enter_fg_pct,prn_enter_allow_fg_pct,prn_enter_off_rebs_avg,prn_enter_allow_off_rebs_avg,prn_enter_def_rebs_avg,prn_enter_ft_att_avg,prn_enter_allow_ft_att_avg,prn_enter_ft_pct,prn_enter_turnover_avg,prn_enter_take_away_avg,prn_enter_win_pct,opp_enter_pts_avg,opp_enter_allow_pts_avg,opp_enter_possesion_avg,opp_enter_fg_pct,opp_enter_allow_fg_pct,opp_enter_off_rebs_avg,opp_enter_allow_off_rebs_avg,opp_enter_def_rebs_avg,opp_enter_ft_att_avg,opp_enter_allow_ft_att_avg,opp_enter_ft_pct,opp_enter_turnover_avg,opp_enter_take_away_avg,opp_enter_win_pct
2015-11-13 00:00:00.0000000,e08607b9-ff8f-4bfd-b62d-e49a2c31bb35,True,Eastern Michigan,Vermont,70,True,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,e302d3cb-bbeb-47fa-9f96-0d85eb176c86,False,Fairfield,Yale,57,False,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,6927bc52-8608-42ab-9d1c-504c48211edd,True,Iowa State,Colorado,68,True,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,2ab37176-3e33-483a-b3d6-5e2f28361dc2,False,Jacksonville State,Central Michigan,83,False,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,af588f0f-e314-4f49-b429-dd50d65de7fb,True,Ole Miss,Northwestern State,90,True,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,669c3a74-a1af-4153-8e9b-2445dbd8e3d0,True,Pennsylvania,Robert Morris,76,True,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,a4781f2d-9d18-4904-8cfb-8557b35ac13f,False,Quinnipiac,Sacred Heart,64,False,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,083f7e42-8276-4f78-945e-cae3c0a9d401,False,South Dakota,Wright State,69,False,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 00:00:00.0000000,9b406ba4-1b74-4d22-b92e-3885ee7e6fe1,True,St. John's,Wagner,66,True,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,5aa7e23a-303d-4c84-8d84-87e0e1be2ea7,False,Air Force,Southern Illinois,75,False,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,be6e62a0-6122-473c-8542-8130385279fa,True,Alabama,Kennesaw State,77,True,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,86e99c86-b031-4c65-bdf0-31a566aa652d,False,Alabama A&M,Tulane,68,True,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,94e509e9-5d3a-4319-9e63-89df512ba69d,False,Albany,Kentucky,65,False,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,a37ff3c7-6ff8-46f6-8be7-c1bead4114f3,False,American University,Rhode Island,42,False,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d3dcca1e-c657-4d4a-9f77-60ccaf90263d,True,Appalachian State,Jacksonville,76,True,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,65e1cb19-60cd-46a3-9893-9d375c9241e3,True,Arizona,Pacific,79,True,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,636c5c0e-0bb7-44c2-90b7-760eb6e18ac0,False,Arkansas State,SIU-Edwardsville,70,False,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,888ed3df-d571-4772-a69f-be80ea145c86,False,Arkansas-Pine Bluff,Seattle,58,True,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,0dfd5b62-d45f-432f-abcc-0a10296945ef,True,Auburn,UAB,75,True,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d6c6628e-19e4-4a66-8e6e-6464fc288ee5,False,Ball State,Bradley,53,False,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,7139e177-cc49-46b6-8500-7a0761c8285c,True,Baylor,Stephen F. Austin,97,True,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,97a92c88-d6bf-4063-9add-d44f10a77d82,False,Binghamton,St. Bonaventure,53,False,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,0b2068b9-de46-45d2-b62f-9bb88bf5d5ae,True,Bowling Green,New Orleans,79,True,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d1d222d9-b4c2-4456-afd8-3b51a947b8f3,False,Brown,St. Peter's,65,False,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d416d4dc-acfa-4508-a324-0e79d4213609,False,Cal Poly,UNLV,72,False,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,0599c1ff-2142-4ca8-8e3c-5d78097c53a5,False,Cal State Fullerton,Loyola Marymount,74,False,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d042262f-42f0-4603-9a12-50e90f7f203e,False,Central Arkansas,Tulsa,81,False,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,c0ba375d-93d2-468b-8283-eda8d8ff8f8b,False,Charleston Southern,Wichita State,63,False,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,080d5956-d8c9-41af-87fd-8b8e451706d3,True,Charlotte,Elon,74,False,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,43573f77-8040-40b7-88d6-b6a2cbb9df44,True,Cincinnati,Western Carolina,97,True,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d5cf0c2e-b7da-49c4-ae97-3836e4df4d47,True,Clemson,North Carolina Central,74,True,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,39324548-2d57-41a9-9d1f-8b88f6b72a47,False,Colorado State,Northern Iowa,84,True,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,2b6f208e-08e8-4172-bd50-7411beb8f0ba,True,Connecticut,Maine,100,True,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,c058c5a9-4b32-48ee-a229-9cefc947485d,False,Cornell,Georgia Tech,81,False,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,469f555b-6a10-4ec9-b4e8-9a906e113fc9,False,Delaware,Delaware State,62,True,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,5f81a0a2-4637-4786-ae3f-b501154e5f8e,False,Drexel,Saint Joseph's (PA),81,False,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,82589904-dbb3-4469-957b-a51725cb5747,True,Duke,Siena,92,True,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,d0330eec-c3fe-43a0-9223-551549dc7788,True,East Carolina,Grambling State,61,True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,b52c95b9-ba69-4480-b310-0fb263cdbabf,True,Eastern Kentucky,Coppin State,107,True,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,77752f38-3162-47fc-bd51-51a9069a6051,False,Eastern Washington,Mississippi State,88,False,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-14 00:00:00.0000000,8c4a1703-39d7-4539-88e3-30e456012364,False,Florida Atlantic,Michigan State,55,False,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
