market,team_id,points_avg,opp_pts_avg,possesion_avg,fg_pct,allow_fg_pct,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,ft_att_avg,allow_ft_att_avg,ft_pct,turnover_avg,take_away_avg,win_pct,off_rating
Saint Mary's,b18f34af-a7f1-4659-a2e5-fc11a31cd316,73.412,61.059,69.252941,.50438116100766,.40994764397905,7.471,8.235,25.059,19.324,15.559,13.529,.68809073724007,9.324,9.559,.824,106.005265
North Florida,09920a5f-1b25-466c-b5ae-6167214f5ba9,82.903,80.387,78.419354,.48006379585326,.47191011235955,7.000,10.516,23.935,24.613,17.419,17.871,.72592592592592,10.774,10.065,.613,105.717811
Villanova,4383eb6a-7fd8-4ff2-94c5-43c933121e88,77.950,63.575,74.460000,.48331108144192,.40320427236315,7.900,8.800,24.675,20.350,19.150,16.850,.78198433420365,10.625,13.450,.875,104.687080
Indiana,c3f0a8ce-af67-497f-a750-3b859376b20a,82.600,69.914,79.074285,.50196656833824,.44428080510554,10.400,8.743,23.971,18.514,19.686,17.571,.73149492017416,13.086,12.600,.771,104.458737
Belmont,a0a22502-0d84-440c-84af-1fbb070ad54c,82.516,79.226,79.864516,.49388209121245,.44548774126238,7.484,10.677,24.742,22.516,20.065,22.871,.72668810289389,13.839,11.871,.613,103.320139
Duke,faeb1160-5d15-4f26-99fc-c441cf21fc7f,81.111,72.472,78.594444,.46042154566744,.44474153297682,10.222,11.028,22.417,22.528,24.056,15.778,.72286374133949,9.667,11.667,.694,103.202092
Iowa State,0e4258fa-3154-4c16-b693-adecab184c6c,81.771,75.000,79.320000,.50347383047707,.43822222222222,7.600,10.086,25.286,23.000,16.086,16.000,.70159857904085,11.200,11.771,.657,103.090554
Eastern Washington,54df21af-8f65-42fc-bc01-8bf750856d70,79.344,77.781,77.037500,.47508125677139,.48974082073434,7.656,8.375,22.063,23.875,20.719,21.906,.68627450980392,11.063,10.844,.500,102.993671
Virginia,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,70.973,60.054,68.972972,.49108507386653,.42022714981070,7.595,6.838,21.703,19.108,17.027,16.676,.75238095238095,9.108,11.216,.784,102.899686
Oakland,aeaaef0d-5238-414e-ac04-c55a22cba208,86.371,78.457,84.205714,.45837145471180,.43451327433628,10.114,10.286,25.886,23.686,26.086,20.714,.76998904709748,11.314,12.000,.657,102.571932
Michigan State,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,79.800,64.143,77.920000,.48556304138594,.38222222222222,10.943,7.314,28.000,19.429,17.800,19.714,.72873194221508,11.429,9.143,.829,102.412731
Gonzaga,2f4d21f8-6d5f-48a5-abca-52a30583871a,78.686,66.000,76.845714,.48463825569871,.39801230477993,8.829,8.657,27.171,20.543,19.829,16.971,.75792507204610,11.257,10.029,.771,102.394408
Miami (FL),7aec5187-cb1b-45e5-8f7d-406d766cdc73,75.229,67.400,73.594285,.47862796833773,.43077689243027,8.229,8.629,23.514,20.286,22.057,16.686,.74870466321243,10.629,11.029,.771,102.220669
Michigan,bdc2561d-f603-4fab-a262-f1d2af462277,73.886,68.057,72.388571,.46092184368737,.45113168724279,6.829,7.229,22.400,23.029,15.829,15.000,.74007220216606,9.029,11.514,.629,102.068203
Notre Dame,80962f09-8821-48b6-8cf0-0cf0eea56aa8,75.111,70.583,73.761111,.47600391772771,.43175487465181,9.250,9.833,22.861,20.667,18.639,15.528,.74217585692995,9.583,9.417,.667,101.830232
William & Mary,ad24b724-a11c-4dcd-a68c-67c53833ccb7,76.034,71.759,74.696551,.47962962962962,.42784090909090,6.897,8.931,26.379,22.966,20.448,16.931,.72006745362563,10.655,10.138,.621,101.791154
Kansas,fae4855b-1b64-4b40-a632-9ed345e1e952,80.162,67.514,78.789189,.48969072164948,.39840450492726,9.081,9.108,26.027,20.919,22.243,21.486,.71324422843256,12.216,12.270,.865,101.742590
Columbia,ca74bd67-034c-4468-8487-6f983f5eb4f6,74.758,68.758,73.915151,.44972677595628,.44556113902847,8.455,7.576,22.758,22.000,21.000,18.758,.73304473304473,10.061,12.152,.697,101.139717
Butler,bdb7d7a4-45f8-4bf3-ab85-15488c451494,79.939,71.030,79.048484,.46622651091924,.43533794571580,9.152,7.424,23.152,21.758,23.455,20.364,.73126614987080,10.000,12.758,.667,101.127041
Maryland,2778d005-cc14-4e58-9bf2-3fc37bffb62f,75.200,66.800,74.400000,.48284960422163,.40815347721822,7.343,9.229,24.971,20.400,20.000,16.086,.77000000000000,12.257,10.371,.743,101.075268
