season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2000,Air Force,aa7af640-5762-4686-9181-39f7b8a8186e,29,-3.57,1.99,0.276,57,63,0.435,NULL,0.697,NULL,63.020689655172,6,NULL,16,NULL,13,7,90.4464871963236,16
2000,Akron,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,28,-3.09,1.67,0.429,67,72,0.452,NULL,0.725,NULL,73.857142857142,9,NULL,20,NULL,15,5,90.7156673114131,23
2000,Alabama,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,36,14.02,6.27,0.694,76,68,0.433,NULL,0.698,NULL,86.2,16,NULL,26,NULL,15,7,88.1670533642691,24
2000,Alabama A&M,949c3398-85e4-4c63-ba71-9a82e06ddea4,28,-13.46,-11.79,0.607,73,74,0.391,NULL,0.626,NULL,94.264285714285,17,NULL,22,NULL,16,12,77.441842843071,23
2000,"Alabama State ",267d417a-8f85-4c87-a15a-068c089a74c6,31,-8.86,-13.61,0.71,68,63,0.441,NULL,0.658,NULL,80.690322580645,12,NULL,25,NULL,16,8,84.2728072279525,22
2000,Alabama-Birmingham,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,31,6.63,4.08,0.548,72,69,0.425,NULL,0.649,NULL,84.858064516129,14,NULL,26,NULL,15,6,84.8475632935452,22
2000,Albany (NY),290a5130-836d-45e6-824f-28704d6ba246,28,-18.87,-8.67,0.214,68,77,0.43,NULL,0.675,NULL,81.585714285714,10,NULL,22,NULL,15,8,83.347925056908,17
2000,Alcorn State,1bddc811-44cf-4e53-b4ab-11c8dc82c9de,30,-11.98,-10.78,0.5,74,76,0.438,NULL,0.694,NULL,88.846666666666,14,NULL,24,NULL,19,7,83.2895625422082,24
2000,American,2f513e67-f019-4eec-9096-fbc5911858b6,27,-10.33,-2.81,0.259,58,66,0.405,NULL,0.572,NULL,77.577777777777,12,NULL,24,NULL,15,5,74.7636780292187,17
2000,Appalachian State,87d88c93-29bc-4306-b0a6-87c6f6e80da1,31,-12.13,-4.24,0.355,64,70,0.433,NULL,0.675,NULL,80.348387096774,13,NULL,24,NULL,17,6,79.6531234944598,18
2000,"Arizona ",9b166a3f-e64b-4825-bb6b-92c6f0418263,36,26.84,12.56,0.778,81,66,0.476,NULL,0.748,NULL,84.805555555555,13,NULL,26,NULL,15,7,95.5126105470036,26
2000,Arizona State,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,29,11.09,8.99,0.448,73,71,0.443,NULL,0.673,NULL,85.703448275862,14,NULL,24,NULL,15,6,85.1774362275691,23
2000,"Arkansas ",c70c23c4-ab09-4797-a1af-792c848ab17f,31,16.61,6.16,0.645,79,69,0.443,NULL,0.69,NULL,86.987096774193,13,NULL,22,NULL,14,11,90.8180671957285,20
2000,Arkansas State,95826e36-ea33-4b51-83a8-7b4cc20999ee,30,-4.23,-2.76,0.567,72,72,0.454,NULL,0.693,NULL,81.273333333333,11,NULL,25,NULL,14,5,88.5899434008699,19
2000,Arkansas-Pine Bluff,1394dd8a-040e-4509-9ee3-761d60eaf6c9,27,-31.2,-8.23,0.074,61,84,0.368,NULL,0.589,NULL,89.081481481481,13,NULL,23,NULL,19,7,68.4766339597542,20
2000,Army,6dfaf0ba-47c4-4e05-b0a7-72734747d48f,28,-15.73,-7.65,0.321,71,78,0.429,NULL,0.75,NULL,82.228571428571,9,NULL,23,NULL,17,6,86.3446838082006,27
2000,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,32,11.48,7.14,0.563,77,73,0.449,NULL,0.651,NULL,86.45625,14,NULL,24,NULL,14,8,89.062387045471,21
2000,Austin Peay,a0fdb660-a822-4337-b01d-31c4d2c99c8a,32,-0.53,-3.26,0.688,78,75,0.507,NULL,0.704,NULL,80.10625,12,NULL,22,NULL,14,5,97.3706795662011,20
2000,Ball State,315c4deb-3c9d-413d-a369-7168f2545d21,30,3.12,0.3,0.6,69,66,0.452,NULL,0.652,NULL,78.04,13,NULL,24,NULL,13,5,88.4161968221425,16
2000,Baylor,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,31,7.42,2.6,0.613,71,64,0.449,NULL,0.673,NULL,79.425806451612,10,NULL,25,NULL,14,8,89.3916010072303,21
2000,Belmont,a0a22502-0d84-440c-84af-1fbb070ad54c,28,-9.75,-5.45,0.464,76,78,0.431,NULL,0.745,NULL,82.407142857142,12,NULL,23,NULL,15,5,92.225015168589,19
2000,Bethune-Cookman,0796c3b6-5308-4aa0-8fdc-c65d39b043c6,29,-17.81,-10.37,0.345,62,68,0.401,NULL,0.638,NULL,80.524137931034,12,NULL,22,NULL,17,7,76.9955464200073,25
2000,Boise State,c1c54dbf-805c-47fc-a707-c803e94db2a4,31,-0.69,-0.21,0.548,72,71,0.456,NULL,0.675,NULL,80.619354838709,10,NULL,21,NULL,14,6,89.3085787451992,21
