season,round,game_date,win_seed,win_market,win_team_id,win_pts,lose_seed,lose_market,lose_team_id,lose_pts
1985,64,1985-03-14 00:00:00.0000000,8,Temple,8598d1b6-106b-4083-a512-2e495729525a,60,9,Virginia Tech,324ccccc-575b-4b82-acb0-fbb8e68da13b,57
1985,64,1985-03-15 00:00:00.0000000,2,Virginia Commonwealth,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,81,15,Marshall,58d8baa3-7624-4b21-a47f-a23df2bf8859,65
1985,64,1985-03-14 00:00:00.0000000,1,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600,68,16,Lehigh,508f503f-dc57-4f4c-a01e-4f195e5c05c8,43
1985,8,1985-03-23 00:00:00.0000000,1,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600,60,2,Georgia Tech,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,54
1985,32,1985-03-16 00:00:00.0000000,1,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600,63,8,Temple,8598d1b6-106b-4083-a512-2e495729525a,46
1985,4,1985-03-30 00:00:00.0000000,1,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600,77,1,St. John's,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,59
1985,16,1985-03-21 00:00:00.0000000,1,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600,65,4,Loyola (IL),61a3908a-7492-4b6f-809e-12c61976bb0a,53
1985,32,1985-03-17 00:00:00.0000000,11,Boston College,4b3ff02c-e0ba-435b-a565-6075bc491684,74,3,Duke,faeb1160-5d15-4f26-99fc-c441cf21fc7f,73
1985,64,1985-03-15 00:00:00.0000000,11,Boston College,4b3ff02c-e0ba-435b-a565-6075bc491684,55,6,Texas Tech,f8c705b7-87d3-411a-9c8b-5124daab0469,53
1985,64,1985-03-15 00:00:00.0000000,11,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b,79,6,Tulsa,2959bd24-7007-41ae-a3a3-abdf26888cfc,75
1985,64,1985-03-15 00:00:00.0000000,7,Syracuse,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,70,10,DePaul,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,65
1985,64,1985-03-14 00:00:00.0000000,4,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2,85,13,San Diego State,e6914f16-ca37-4d2e-ba26-a425910283e2,80
1985,32,1985-03-16 00:00:00.0000000,11,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,66,3,Kansas,fae4855b-1b64-4b40-a632-9ed345e1e952,64
1985,64,1985-03-14 00:00:00.0000000,11,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,59,6,Purdue,12d7f888-675b-459f-9099-a38f771d8a95,58
