kaggle_school,massey_school,kaggle_id
A&M-Corpus Christi,TAM C. Christi,fe21a988-3e96-4f3c-8f9f-b449ccda43b0
Abilene Christian,Abilene Chr,a52b2ece-1f87-45b5-ae1e-8d0920479965
Air Force,Air Force,aa7af640-5762-4686-9181-39f7b8a8186e
Akron,Akron,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20
Alabama,Alabama,c2104cdc-c83d-40d2-a3cd-df986e29f5d3
Alabama A&M,Alabama A&M,949c3398-85e4-4c63-ba71-9a82e06ddea4
Alabama St.,Alabama St,267d417a-8f85-4c87-a15a-068c089a74c6
Albany (NY),Albany NY,290a5130-836d-45e6-824f-28704d6ba246
Alcorn,Alcorn St,1bddc811-44cf-4e53-b4ab-11c8dc82c9de
American,American Univ,2f513e67-f019-4eec-9096-fbc5911858b6
Appalachian St.,Appalachian St,87d88c93-29bc-4306-b0a6-87c6f6e80da1
Arizona,Arizona,9b166a3f-e64b-4825-bb6b-92c6f0418263
Arizona St.,Arizona St,ad4bc983-8d2e-4e6f-a8f9-80840a786c64
Ark.-Pine Bluff,Ark Pine Bluff,1394dd8a-040e-4509-9ee3-761d60eaf6c9
Arkansas,Arkansas,c70c23c4-ab09-4797-a1af-792c848ab17f
Arkansas St.,Arkansas St,95826e36-ea33-4b51-83a8-7b4cc20999ee
Army West Point,Army,6dfaf0ba-47c4-4e05-b0a7-72734747d48f
Auburn,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2
Austin Peay,Austin Peay,a0fdb660-a822-4337-b01d-31c4d2c99c8a
Ball St.,Ball St,315c4deb-3c9d-413d-a369-7168f2545d21
Baylor,Baylor,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
Belmont,Belmont,a0a22502-0d84-440c-84af-1fbb070ad54c
Bethune-Cookman,Bethune-Cookman,0796c3b6-5308-4aa0-8fdc-c65d39b043c6
Binghamton,Binghamton,fa0f8282-c4f1-490e-962c-f25350cd76f4
Boise St.,Boise St,c1c54dbf-805c-47fc-a707-c803e94db2a4
Boston College,Boston College,4b3ff02c-e0ba-435b-a565-6075bc491684
Boston U.,Boston Univ,de9a0e19-b83c-4b98-a6da-81c110cb364b
Bowling Green,Bowling Green,a9e4d292-d074-40e7-a81a-f9342929b979
Bradley,Bradley,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb
Brown,Brown,558abf02-97f4-4323-aa99-63c076d35932
Bryant,Bryant,61dadefa-76bf-4db4-8067-f88df540b9cd
Bucknell,Bucknell,98d2123a-c7b9-4b5f-8a81-43f76d8537dc
Buffalo,Buffalo,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9
Butler,Butler,bdb7d7a4-45f8-4bf3-ab85-15488c451494
BYU,BYU,c31455b2-8a45-4248-aa8f-ce7eab1c6b02
Cal Poly,Cal Poly SLO,45439cdb-af7a-4743-936c-dccc76b30877
Cal St. Fullerton,CS Fullerton,c009914b-3303-4dee-b915-978aa48a31d0
California,California,aacdc78d-b7fa-48f6-9686-2fdb8a95030e
Campbell,Campbell,6e5dfe2c-28cc-411f-b846-af8436093ab2
Canisius,Canisius,0113eea0-c943-4fff-9780-ae0fb099e7ef
Central Ark.,Cent Arkansas,dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355
Central Conn. St.,Central Conn,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6
Central Mich.,C Michigan,472c22e0-843d-472c-a871-f1593fb0725d
Charleston So.,Charleston So,a3fef707-e4fc-48a0-82f1-f4ef01b76f45
Charlotte,Charlotte,8ddbfca9-a931-4908-aa31-9fcd17624b5f
Chattanooga,Chattanooga,4c9fb59b-6cec-4b0d-bb0f-628b391d138c
Chicago St.,Chicago St,2f8c85a7-54f4-4942-be16-2cbac77c82d7
Cincinnati,Cincinnati,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
Clemson,Clemson,dcf5c2e7-c227-4c20-af26-715d5f859412
Cleveland St.,Cleveland St,e30c0417-b220-424e-886e-dd1249e2ca5a
Coastal Caro.,Coastal Car,4af63ebd-d3c8-4772-bbde-938a078bd057
Col. of Charleston,Col Charleston,8548dacb-3636-48a8-8c46-611ab0c15fc0
Colgate,Colgate,80a19b57-d6ab-4bee-934f-33a72c2e958a
Colorado,Colorado,9fccbf28-2858-4263-821c-fdefb3c7efa3
Colorado St.,Colorado St,1a470730-f328-4fb1-8bbf-36a069e4d6b2
Columbia,Columbia,ca74bd67-034c-4468-8487-6f983f5eb4f6
Coppin St.,Coppin St,5f9a90a2-3926-404e-8c8a-d9f22ad6907d
Cornell,Cornell,88ff8c00-958e-4ccf-a21d-77fab9e93692
Creighton,Creighton,7d797407-623e-476d-b299-46de4275414d
CSU Bakersfield,CS Bakersfield,2da57857-b038-4ad3-8199-e3fb339f57d2
CSUN,CS Northridge,cb732075-23a5-4e71-9037-50a7a002bdb2
Dartmouth,Dartmouth,d60357bd-1205-42e9-9092-d986a2843a34
Davidson,Davidson,2920c5fa-1e86-4958-a7c4-1e97b8e201d8
Dayton,Dayton,632616c5-2dbb-4017-a449-c9dfc303f026
Delaware,Delaware,0affc15f-641d-4211-970d-fb9fb8d36842
Delaware St.,Delaware St,ffa04cde-aa2d-4e91-b2cd-bde2bfed44de
