game_id,game_date,principal_team,opponent_team,home_team,principal_score,opponent_score,delta_field_goals_pct,delta_avg_off_rebounds,delta_avg_free_throws_att,delta_avg_free_throws_pct,delta_avg_turnovers,delta_win_pct,game_result
59217c6a-34da-48ef-8753-a7b1e5bb5998,11/15/2015,UNC Asheville,Western Carolina,FALSE,81,90,0.075,-3,4,-0.008,2,0,FALSE
1bb9c45c-80e8-40e4-80f3-84a795135434,11/15/2015,South Dakota,Cal State Northridge,TRUE,76,72,-0.041,-5,-13,0.111,1,0,TRUE
347c62d0-c3ca-4688-9fa0-aa21fa5746f9,11/15/2015,Wright State,Cal State Northridge,TRUE,67,72,-0.052,-7,-6,0.276,-5,1,FALSE
2bb9a40e-50d9-4a5b-95a5-a49e609df45f,11/15/2015,Northern Illinois,Wright State,TRUE,65,59,0.03,8.5,1.5,-0.144,4,0,TRUE
07c058c3-ad3c-4af0-a78a-feeda651785e,11/15/2015,Clemson,UTSA,TRUE,78,45,0.011,-1,7,-0.005,-17,1,TRUE
383c9045-cd39-43c3-8da0-e5034fcf5374,11/15/2015,Milwaukee,Lipscomb,FALSE,71,65,0.123,1,-8,0.297,-5,0,TRUE
31e9ca64-a978-44a4-95b0-cb5fec1fa508,11/15/2015,Cincinnati,Robert Morris,TRUE,106,44,0.143,3,9,0.148,6,1,TRUE
b819c246-0259-486b-b1f8-b0be65c70dfa,11/15/2015,Vermont,Purdue,FALSE,79,107,-0.145,-1,-14,-0.1,8,-1,FALSE
5c9e05af-46c3-49e2-83ac-193843fd8286,11/15/2015,Missouri,Maryland-Eastern Shore,TRUE,73,55,0.262,-2,5,-0.053,-12,1,TRUE
e906ce41-c511-4054-b8f3-7b339847303f,11/15/2015,Pennsylvania,Central Connecticut State,TRUE,77,61,0.109,-8,-14,0.167,1,1,TRUE
c12daf0d-6695-46ba-a637-25ff72ae6261,11/15/2015,Santa Clara,Milwaukee,TRUE,65,71,-0.116,0,-2,-0.215,7,-1,FALSE
2b147c27-2625-4dab-9e11-9041e70d04ec,11/15/2015,Seattle,Sacramento State,TRUE,65,77,-0.117,-4,14,0,-2,-1,FALSE
531b8e54-a3f2-49e2-b6cc-979aa7103fe3,11/15/2015,Wagner,Seton Hall,FALSE,59,69,-0.3,-1,-23,0.038,-8,-1,FALSE
cd520fed-02e6-4c94-857b-dc18bfeb5fb5,11/15/2015,Denver,Lipscomb,TRUE,82,69,0.218,-8,-19,0.045,-4,-1,TRUE
23f591f3-d01b-4d5b-a05b-0836b475f12d,11/15/2015,Santa Clara,Denver,TRUE,33,55,-0.211,9,9,0.037,6,0,FALSE
a5bf2f70-019c-4513-8170-692fa320c9e9,11/15/2015,Coppin State,Iowa,FALSE,68,103,-0.004,0,4,-0.125,6,-1,FALSE
ca129e37-d9a8-43e7-9a80-48d35a89fea1,11/15/2015,North Carolina,Fairfield,TRUE,92,65,0.107,10,10,-0.073,-6,1,TRUE
f2ccaac0-8882-419f-b2e3-aebd3a7b9e4c,11/15/2015,North Dakota State,Illinois,FALSE,74,80,-0.009,3,-14,-0.078,4,1,FALSE
af0de99e-0621-4b13-924d-aa570b7763a3,11/16/2015,Coastal Carolina,Hawaii,FALSE,63,74,-0.216,1,2,-0.006,5,-1,FALSE
0c1393b3-28bc-4e43-a1c3-95eb159cc9ae,11/16/2015,UCLA,Cal Poly,TRUE,88,83,-0.023,8,17,-0.177,10,0,TRUE
b7f03a53-d917-405e-9736-c1b584034958,11/16/2015,Montana State,Nevada,FALSE,62,83,0.042,-3,2,0.102,13,-1,FALSE
56999483-8ee9-40ac-b2db-2de0d273d517,11/16/2015,New Mexico State,New Mexico,TRUE,74,83,-0.007,0,-5,0.17,4,0,FALSE
0557a5b2-0320-4f7d-aa72-f871c01cfd63,11/16/2015,Charleston Southern,Stanford,FALSE,59,93,-0.142,-9,-12,0.038,-8,-1,FALSE
67e7a92b-c85d-4505-9e2d-a8c9ae16d9d6,11/16/2015,Siena,Wisconsin,FALSE,65,92,0.067,-8,-4,-0.021,14,0,FALSE
cc47449e-2a0c-4139-91d6-af5cb8799b5a,11/17/2015,Penn State,DePaul,TRUE,68,62,-0.031,7,-18,-0.083,-1,0,TRUE
1331ec73-910b-494e-a0e9-3d83efd75ff6,11/17/2015,Oklahoma State,Arkansas-Pine Bluff,TRUE,86,72,0.195,-1,8,0.062,-6,0,TRUE
4b5be5c5-a8bc-49b8-bead-a7997e0c3370,11/17/2015,East Carolina,Charlotte,TRUE,88,74,-0.058,1,8,0.102,1,1,TRUE
bcbe4f7f-3693-48b4-a919-625cf98ae2f7,11/17/2015,Virginia Commonwealth,Radford,TRUE,92,74,-0.014,4,0,0.223,4,0,TRUE
c3a71bd5-89ec-464c-adfd-b66aa3f04da2,11/17/2015,Alabama State,UAB,FALSE,70,72,-0.02,-1,10,0.035,-5,1,FALSE
63b9255a-3fce-427f-ad6d-61cb0000a280,11/17/2015,Holy Cross,Brown,FALSE,55,71,0.074,-4,-7,0.14,-5,1,FALSE
a7e475a6-7aca-4f50-9250-7d7f18a100e6,11/17/2015,West Virginia,James Madison,TRUE,86,73,-0.023,6,22,0.094,4,0,TRUE
219265b0-aba3-458c-8d1b-1fe85d41c5f4,11/17/2015,UC Santa Barbara,California,FALSE,67,85,-0.158,1,-2,-0.083,14,0,FALSE
e9e73eaf-8612-49ff-8a3d-18deed1c8d6e,11/17/2015,Sacred Heart,Yale,FALSE,77,99,0.004,-9,24,-0.229,-6,0,FALSE
ba1151f9-27f3-4faf-b692-5869853d817c,11/17/2015,USC Upstate,Presbyterian,FALSE,73,74,-0.087,3,10,0.18,-1,0,FALSE
f8eeb468-78fe-45cf-bd34-c8a96f74c5a6,11/17/2015,IUPUI,Marquette,FALSE,71,75,0.048,-8,3,0.033,6,1,FALSE
1fd86dd0-01f4-4dce-bba5-b50f25842e2f,11/17/2015,Alabama,Dayton,FALSE,48,80,-0.01,-3,-10,-0.039,-4,0,FALSE
