season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2010,Air Force,aa7af640-5762-4686-9181-39f7b8a8186e,32,2.71,3.31,0.5,64,65,0.471,0.41,0.705,18,67.35,5,10,22,23,12,6,95.02598367,18
2010,Akron ,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,36,2.15,-1.02,0.639,70,65,0.43,0.42,0.704,19,76.79444444,10,11,24,21,12,6,91.15242711,18
2010,Alabama,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,37,11.7,4.27,0.676,66,59,0.45,0.389,0.707,19,76.83243243,12,11,23,21,13,9,85.90122415,17
2010,Alabama A&M,949c3398-85e4-4c63-ba71-9a82e06ddea4,28,-15.19,-11.75,0.464,64,66,0.396,0.447,0.624,27,82.47142857,12,11,25,25,15,8,77.60263295,23
2010,Alabama State ,267d417a-8f85-4c87-a15a-068c089a74c6,35,-13.37,-10.31,0.486,61,63,0.395,0.436,0.603,21,78.28571429,13,11,23,26,15,7,77.91970803,24
2010,Alabama-Birmingham ,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,31,8.55,2.78,0.71,68,62,0.438,0.413,0.717,16,74.7483871,11,10,24,21,12,5,90.97186259,16
2010,Albany (NY),290a5130-836d-45e6-824f-28704d6ba246,32,-7.05,-5.96,0.5,62,64,0.424,0.46,0.645,15,72.525,11,10,24,21,12,4,85.48776284,15
2010,Alcorn State,1bddc811-44cf-4e53-b4ab-11c8dc82c9de,28,-23.02,-8.02,0.143,65,80,0.369,0.43,0.633,23,87.47857143,10,12,24,23,16,7,74.30391116,27
2010,American,2f513e67-f019-4eec-9096-fbc5911858b6,31,-3.13,-5.64,0.71,66,63,0.447,0.411,0.718,17,70.58064516,9,10,24,23,11,4,93.51005484,19
2010,Appalachian State,87d88c93-29bc-4306-b0a6-87c6f6e80da1,31,-4.81,-2.95,0.516,73,73,0.455,0.435,0.705,22,78.01935484,10,11,24,23,13,5,93.56652609,22
2010,Arizona ,9b166a3f-e64b-4825-bb6b-92c6f0418263,38,16.54,7.99,0.789,76,67,0.469,0.406,0.746,18,76.51578947,10,10,23,22,12,5,99.32590453,23
2010,Arizona State,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,31,4.3,7.2,0.387,63,66,0.43,0.431,0.628,20,72.49677419,9,9,22,20,12,6,86.90041826,15
2010,Arkansas,c70c23c4-ab09-4797-a1af-792c848ab17f,31,6.28,2.34,0.581,70,66,0.436,0.434,0.695,21,78.00645161,10,13,23,24,13,7,89.7361674,22
2010,Arkansas State,95826e36-ea33-4b51-83a8-7b4cc20999ee,32,-3.38,-3.31,0.531,68,64,0.432,0.454,0.708,14,76.3125,12,9,24,21,13,6,89.10728911,23
2010,Arkansas-Pine Bluff,1394dd8a-040e-4509-9ee3-761d60eaf6c9,31,-20,-8.03,0.226,59,71,0.389,0.443,0.627,22,76.98064516,9,12,22,23,16,7,76.64264164,20
